con_id,con_abbr,con_name,CCF_classification,CCF_category,CORE_classification
439BCE5E,RecSys,Conference on Recommender Systems,X,X,B
44902F2C,ITHET,Information Technology Based Higher Education and Training,X,X,C
44AB61E1,RTCSA,Embedded and Real-Time Computing Systems and Applications,X,X,B
45E5BC3F,CIS,Computational Intelligence and Security,X,X,C
45FFFB88,ICSE,International Conference on Software Engineering,A,4.0,A*
4668332C,BSN,Wearable and Implantable Body Sensor Networks,X,X,C
46E8C2CD,VECPAR,High Performance Computing for Computational Science (Vector and Parallel Processing),X,X,B
46F3B6B4,TARK,Theoretical Aspects of Rationality and Knowledge,X,X,A
47490CF4,CTS,Collaboration Technologies and Systems,X,X,C
436150FA,ICC,International Conference on Communications,C,2.0,B
43626F75,IVCNZ,Image and Vision Computing New Zealand,X,X,B
4372AEEF,SIGMETRICS,Measurement and Modeling of Computer Systems,B,1.0,A*
43E59455,HPCNCS,"High Performance Computing, Networking and Communication Systems",X,X,B
44788D44,IDEAL,Intelligent Data Engineering and Automated Learning,X,X,C
448ECA1D,FOCS,Foundations of Computer Science,A,6.0,A*
45BA2C87,PDCAT,Parallel and Distributed Computing: Applications and Technologies,X,X,B
46469614,FDG,Foundations of Digital Games,X,X,C
4686A887,ISSCC,International Solid-State Circuits Conference,X,X,A
46FFDB2C,AMAST,Algebraic Methodology and Software Technology,X,X,C
4769E092,RAID,Recent Advances in Intrusion Detection,B,3.0,A
477F6C83,FSE,Foundations of Software Engineering,B,3.0,B
477F6C83,FSE,Foundations of Software Engineering,A,4.0,B
4300B64E,Afrigraph,"Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",X,X,C
4307E237,WOSIS,Security in Information Systems,X,X,C
439F03CF,PACT,International Conference on Parallel Architectures and Compilation Techniques,B,1.0,A
44DA004E,KR,Principles of Knowledge Representation and Reasoning,B,8.0,A*
4515502B,ICPC,International Conference on Program Comprehension,B,4.0,C
454ED2F8,ICFP,International Conference on Functional Programming,B,4.0,A*
45610CDA,ICDE,International Conference on Data Engineering,A,5.0,A*
45827814,NPC,Network and Parallel Computing,C,1.0,C
45A2253F,VizSEC,Visualization for Computer Security,X,X,C
45CC63B2,ICMT,International Conference on Model Transformation,X,X,B
46EC7D07,DOLAP,Data Warehousing and OLAP,X,X,B
4714E463,SOCA,Service-Oriented Computing and Applications,X,X,C
471F9CDC,WebDB,International Workshop on the Web and Databases,C,5.0,C
476E7EAC,ISTA,Information Systems Technology and its Applications,X,X,B
478CDBCA,TAMC,Theory and Applications of Models of Computation,X,X,B
43001016,ECCV,European Conference on Computer Vision,B,8.0,A
433D5EC6,SEFM,Software Engineering and Formal Methods,X,X,B
4389053B,HIPS,High-Level Parallel Programming Models and Supportive Environments,X,X,C
43ABF249,WWW,International World Wide Web Conferences,B,5.0,A*
4431E39D,SoMeT,"New Trends in Software Methodologies, Tools and Techniques",X,X,B
45126447,ICANN,International Conference on Artificial Neural Networks,C,8.0,B
451E8992,ECBS,Engineering of Computer-Based Systems,X,X,B
454F686A,ECAI,European Conference on Artificial Intelligence,B,8.0,A
45C7663C,SMC,"Systems, Man and Cybernetics",X,X,B
46819766,QSIC,International Conference on Quality Software,C,4.0,B
478757A6,CEC,Congress on Evolutionary Computation,X,X,C
433E69C4,SAFECOMP,"International Conference on Computer Safety, Reliability, and Security",X,X,B
43510C43,ICISS,International Conference on Information Systems Security,X,X,B
43BF9DCC,OPODIS,International Conference on Principles of Distributed Systems,X,X,B
43D2A5F0,ICCS,International Conference on Conceptual Structures,X,X,A
440E04A9,PKDD,European Conference on Principles of Data Mining and Knowledge Discovery,B,5.0,A
446BF184,ADCS,Australasian Document Computing Symposium,X,X,Australasian
454AACD8,MSR,Mining Software Repositories,X,X,C
45687161,Performance,"International Symposium on Computer Modeling, Measurement and Evaluation",B,1.0,A
46B8FFD4,ADC,Australasian Database Conference,X,X,Australasian
46DAFD1F,PRDC,Pacific Rim International Symposium on Dependable Computing,X,X,B
46F1CA07,PRIS,Pattern Recognition in Information Systems,X,X,C
42CD4D27,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,C,1.0,B
42E510A7,WISA,Workshop on Information Security Applications,X,X,C
43C4880A,WAW,Workshop on Algorithms and Models for the Web-Graph,X,X,C
43F6459B,EUROCRYPT,Theory and Application of Cryptographic Techniques,A,3.0,A*
448DC0E0,ICCCI,International Conference on Computational Collective Intelligence,X,X,C
4565989B,ICIW,International Conference on Internet and Web Applications and Services,X,X,C
45CE5B32,AAIM,Algorithmic Applications in Management,X,X,C
46BD07AF,DICTA,Digital Image Computing: Techniques and Applications,X,X,B
46FD5AEB,ISSAC,International Symposium on Symbolic and Algebraic Computation,X,X,A*
475A7738,ARITH,Symposium on Computer Arithmetic,X,X,C
47AF2B68,DFMA,Distributed Frameworks for Multimedia Applications,X,X,C
47CCD465,UAI,Uncertainty in Artificial Intelligence,B,8.0,A*
42E17B30,ISI,Intelligence and Security Informatics,X,X,C
43618307,ATVA,Automated Technology for Verification and Analysis,C,4.0,A
4377364B,EJC,European-Japanese Conference on Information Modelling and Knowledge Bases,X,X,C
43940F97,CSR,Computer Science Symposium in Russia,X,X,C
443CBAC4,PRIMA,Pacific Rim International Conference on Multi-Agents,X,X,B
44EABA80,GMP,Geometric Modeling and Processing,C,7.0,B
45083D2F,CVPR,Computer Vision and Pattern Recognition,A,8.0,A
451C4D3D,ALENEX,Algorithm Engineering and Experimentation,X,X,A
45465CC4,CC,Compiler Construction,X,X,A
45701BF3,ICCV,International Conference on Computer Vision,A,8.0,A*
4574D9D2,ICDT,International Conference on Database Theory,B,5.0,A
459868E4,PDC,Participatory Design Conference,X,X,B
461DDC0A,SACMAT,Symposium on Access Control Models and Technologies,C,3.0,C
46556D49,ESWC,European Semantic Web Conference,C,5.0,A
4693D390,IPCO,Integer Programming and Combinatorial Optimization,C,6.0,A
46C53898,AINA,Advanced Information Networking and Applications,X,X,B
46D6E0D7,ECIW,European Conference on Information Warfare and Security,X,X,C
47059E35,MoDELS,Model Driven Engineering Languages and Systems,B,4.0,B
47169EC5,DEXA,Database and Expert Systems Applications,C,5.0,B
4727BEE5,PPSN,Parallel Problem Solving from Nature,X,X,A
474799EB,IA,Intelligent Agents,X,X,C
476C3638,EATIS,Euro American Conference on Telematics and Information Systems,X,X,Unranked
47957C42,ICAART,International Conference on Agents and Artificial Intelligence,X,X,C
43073C3F,CPAIOR,Integration of AI and OR Techniques in Constraint Programming,X,X,B
430EDF97,ECDL,European Conference on Research and Advanced Technology for Digital Libraries,X,X,A
4321CC25,CICLing,Conference on Intelligent Text Processing and Computational Linguistics,X,X,B
43B71DE0,ICPS,International Conference on Pervasive Services,X,X,C
43CB8BB1,FLOPS,International Symposium on Functional and Logic Programming,X,X,A
44250E28,IROS,Intelligent RObots and Systems,X,X,A
45276E0A,ACNS,Applied Cryptography and Network Security,C,3.0,B
45483BED,IWANN,International Work-Conference on Artificial and Natural Neural Networks,X,X,B
455C7238,MFCS,Mathematical Foundations of Computer Science,C,6.0,A
45C742AD,RoboCup,Robot Soccer World Cup,X,X,B
45CEA1A5,DAARC,Discourse Anaphora and Anaphor Resolution Colloquium,X,X,C
46173BF7,VCIP,Visual Communications and Image Processing,X,X,B
46CFE76B,ICSOFT,International Conference on Software and Data Technologies,X,X,B
4733F622,KEOD,International Conference on Knowledge Engineering and Ontology Development,X,X,C
4789F291,ICDCS,International Conference on Distributed Computing Systems,B,1.0,A
42F14778,MobiDE,Data Engineering for Wireless and Mobile Access,X,X,C
438E31AA,LCN,Local Computer Networks,C,2.0,A
43F3068F,GECCO,Genetic and Evolutionary Computation Conference,C,8.0,A
43FD0CAC,ICCL,International Conference on Computational Logistics,X,X,A
442BF739,ATC,Autonomic and Trusted Computing,X,X,C
4472203F,EKAW,"Knowledge Acquisition, Modeling and Management",X,X,B
450EFBB0,DUX,Designing for User eXperiences,X,X,B
45443D53,PROFES,Product Focused Software Process Improvement,X,X,B
455477A7,ICIP,International Conference on Image Processing,C,7.0,B
45876312,K-CAP,International Conference on Knowledge Capture,X,X,A
45D416DF,ISDA,Intelligent Systems Design and Applications,X,X,C
45D6911A,ACII,Affective Computing and Intelligent Interaction,X,X,C
468A7487,ICDM,International Conference on Data Mining,B,5.0,A*
468D8535,ESORICS,European Symposium on Research in Computer Security,B,3.0,A
469407EC,ADMA,Advanced Data Mining and Applications,X,X,B
46A05BB0,AAAI,National Conference on Artificial Intelligence,A,8.0,A*
46A60087,SYNASC,Symbolic and Numeric Algorithms for Scientific Computing,X,X,C
46FBD884,STOC,Symposium on the Theory of Computing,A,6.0,A*
473A73C9,IGARSS,International Geoscience and Remote Sensing Symposium,X,X,C
47A1D52F,MMSP,Multimedia Signal Processing,X,X,B
43137C5C,AVSS,Advanced Video and Signal Based Surveillance,X,X,B
43383ED6,AIME,Artificial Intelligence in Medicine in Europe,X,X,A
433F0094,WISE,Web Information Systems Engineering,C,5.0,A
4371D954,IWCMC,International Conference on Wireless Communications and Mobile Computing,X,X,B
4372EE76,ICPR,International Conference on Pattern Recognition,C,8.0,B
43758D9B,FOIS,Formal Ontology in Information Systems,X,X,A
43820346,EDBT,Extending Database Technology,B,5.0,A
4520AE55,ISR,International Symposium on Robotics,X,X,A
45B4AB31,WiOpt,"Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks",X,X,B
45C8CEE9,PRO-VE,Working Conference on Virtual Enterprises,X,X,C
46EF4FF9,VRST,Virtual Reality Software and Technology,X,X,A
46FBD930,RTAS,Real Time Technology and Applications Symposium,B,1.0,A
471D649B,ALT,Algorithmic Learning Theory,C,8.0,B
474FB019,ICGSE,International Conference on Global Software Engineering,X,X,C
47CAE638,ACAL,Australian Conference on Artificial Life,X,X,Australasian
432BB4B8,CoNEXT,Conference on Emerging Network Experiment and Technology,B,2.0,A
436B17F2,CiE,Conference on Computability in Europe,X,X,C
440ED19A,ICALP,"International Colloquium on Automata, Languages and Programming",B,6.0,A
44679532,SETP,Software Engineering Theory and Practice,X,X,C
44BF398F,HiPC,High Performance Computing,C,1.0,A
4503201D,ISSRE,International Symposium on Software Reliability Engineering,B,4.0,A
458F31C4,ITiCSE,Integrating Technology into Computer Science Education,X,X,A
45A0F122,LOPSTR,Logic-based Program Synthesis and Transformation,C,4.0,B
45B7D2EB,COLING,International Conference on Computational Linguistics,B,8.0,A
461171C2,WIDM,Web Information and Data Management,X,X,B
461B085B,ISPASS,International Symposium on Performance Analysis of Systems and Software,C,4.0,C
46202E57,ER,International Conference on Conceptual Modeling,C,5.0,A
46789D3E,DSS,Decision Support Systems,X,X,B
474EAFD5,ISADS,International Symposium on Autonomous Decentralized Systems,X,X,C
